1,2.45,2,7.47,2,2.45,3.39,7.47,3.39
2,2.45,4.49,7.47,4.49,2.45,5.88,7.47,5.88
3,2.45,7.58,8.1,7.58,2.45,9.08,8.1,9.08
4,2.45,10.08,8.1,10.08,2.45,12.03,8.1,12.03
5,2.45,14.02,8.1,14.02,2.45,15.52,8.1,15.52
6,2.45,17.24,8.1,17.24,2.45,18.74,8.1,18.74
7,11.88,2.17,13.18,2.17,11.88,9.08,13.18,9.08
8,14.83,2.17,16.13,2.17,14.83,9.08,16.13,9.08
9,17.78,2.17,19.08,2.17,17.78,9.08,19.08,9.08
10,22.12,4.55,23.42,4.55,22.12,9.55,23.42,9.55
11,25.02,4.55,27.13,4.55,25.02,9.55,27.13,9.55
12,28.63,4.55,30.73,4.55,28.63,9.55,30.73,9.55
13,32.23,4.55,34.24,4.55,32.23,9.55,34.24,9.55
14,35.74,4.55,37.75,4.55,35.74,9.55,37.75,9.55
15,39.25,4.55,41.26,4.55,39.25,9.55,41.26,9.55
16,11.15,12.03,16.08,12.03,11.15,13.13,16.08,13.13
17,11.15,14.78,16.08,14.78,11.15,15.88,16.08,15.88
18,11.15,17.53,16.08,17.53,11.15,18.63,16.08,18.63
19,18.03,11.35,19.33,11.35,18.03,19.69,19.33,19.69
20,21.13,11.35,22.43,11.35,21.13,19.69,22.43,19.69
21,24.03,11.35,25.33,11.35,24.03,19.69,25.33,19.69
22,26.93,11.35,28.23,11.35,26.93,19.69,28.23,19.69
23,29.83,11.35,31.13,11.35,29.83,19.69,31.13,19.69
24,34.24,12.43,41.24,12.43,34.24,13.73,41.24,13.73
25,34.24,15.33,41.24,15.33,34.24,16.63,41.24,16.63
26,34.24,18.23,41.24,18.23,34.24,19.53,41.24,19.53
27,28.68,21.49,29.98,21.49,28.68,30.73,29.98,30.73
28,31.48,21.49,32.78,21.49,32.78,30.73,32.78,30.73
29,34.28,21.49,35.58,21.49,34.28,30.73,35.58,30.73
30,37.08,21.49,38.38,21.49,37.08,30.73,38.38,30.73
31,39.88,21.49,41.18,21.49,39.88,30.73,41.18,30.73
32,14.83,21.49,25.08,21.49,14.83,30.73,25.08,30.73
33,4.4,22,14,22,4.4,27.98,14,27.98
34,0.00,0.74,0.74,0.74,0.00,5.73,0.74,5.73
35,0.00,5.73,0.74,5.73,0.00,12.15,0.74,12.15
36,0.00,12.15,0.74,12.15,0.00,20.59,0.74,20.59
37,0.74,0.00,8.71,0.00,0.74,0.00,8.71,0.74
38,8.71,0.00,16.07,0.00,8.71,0.74,16.07,0.74
39,17.37,0.00,26.67,0.00,17.37,0.74,26.67,0.74
40,26.67,1.19,34.17,1.19,26.67,1.93,34.17,1.93
41,34.17,1.19,44.22,1.19,34.17,1.93,44.22,1.93
42,44.22,3.13,44.96,3.13,44.22,13.25,44.96,13.25
43,44.22,17.72,44.96,17.72,44.22,32.84,44.96,32.84
44,26.95,34.44,44.96,34.44,26.95,35.18,44.96,35.18
